index,player,pos,tm,mp_per_game,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,drb,ast,stl,blk,tov,pf,tspercent,x3par,ftr,orbpercent,drbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ows,dws,obpm,dbpm,i
57,Bill Cartwright,C,NYK,38.4,0.547,0.0,0.0,0.0,8.1,14.8,0.547,5.5,6.9,0.797,2.4,6.5,2.0,0.6,1.2,2.7,3.4,0.608,0.0,0.466,6.6,18.6,7.0,0.7,1.7,13.2,20.6,7.7,2.1,1.5,-0.9,1980
58,Harvey Catchings,C,MIL,19.0,0.39799999999999996,0.0,0.0,0.0,1.3,3.4,0.39899999999999997,0.5,0.9,0.629,2.3,3.4,1.1,0.3,2.3,0.9,2.7,0.429,0.004,0.254,13.4,19.0,7.0,0.8,6.5,20.0,9.9,0.2,2.4,-2.7,4.5,1980
60,Maurice Cheeks*,PG,PHI,33.2,0.54,0.1,0.1,0.444,4.5,8.3,0.541,2.3,2.9,0.779,0.9,2.5,7.0,2.3,0.4,2.7,2.5,0.589,0.013999999999999999,0.349,3.2,7.6,28.2,3.3,0.7,22.1,14.9,3.8,4.1,1.0,1.2,1980
61,Phil Chenier,SG,TOT,19.8,0.39,0.1,0.3,0.41700000000000004,3.0,7.8,0.389,1.1,1.6,0.731,0.4,1.4,2.1,0.8,0.3,1.3,1.3,0.431,0.034,0.192,2.2,7.2,14.0,1.8,0.9,12.7,20.0,-0.6,0.6,-3.6,-1.2,1980
62,Phil Chenier,SG,WSB,23.5,0.39299999999999996,0.2,0.3,0.5,4.1,10.4,0.389,1.6,2.1,0.7559999999999999,0.5,1.7,2.1,0.9,0.3,1.5,1.3,0.435,0.027999999999999997,0.192,2.1,7.1,12.4,1.8,0.6,11.1,21.9,-0.3,0.4,-3.1,-1.0,1980
63,Phil Chenier,SG,IND,16.5,0.385,0.1,0.3,0.33299999999999996,2.2,5.6,0.38799999999999996,0.8,1.1,0.6920000000000001,0.4,1.1,2.0,0.7,0.4,1.1,1.3,0.423,0.044000000000000004,0.193,2.4,7.3,15.9,1.8,1.4,15.1,17.6,-0.3,0.2,-4.3,-1.6,1980
64,Jim Chones,C,LAL,29.2,0.489,0.0,0.0,0.0,4.5,9.2,0.491,1.5,2.1,0.74,1.7,5.1,1.8,0.7,0.8,2.1,3.3,0.521,0.003,0.222,7.1,17.6,7.6,1.1,1.4,17.3,16.9,0.7,2.8,-2.1,0.3,1980
65,Jim Cleamons,PG,TOT,22.6,0.47600000000000003,0.1,0.4,0.226,2.6,5.3,0.494,1.1,1.4,0.743,0.7,1.3,3.6,0.7,0.1,1.4,1.7,0.519,0.069,0.251,3.0,5.7,20.4,1.5,0.3,17.9,13.4,1.3,1.0,-1.2,-0.7,1980
67,Jim Cleamons,PG,WSB,26.9,0.483,0.1,0.4,0.174,3.2,6.3,0.503,1.3,1.7,0.735,0.8,1.6,4.4,0.8,0.2,1.6,2.1,0.523,0.06,0.257,2.8,5.9,20.7,1.3,0.3,17.8,13.3,1.2,0.9,-1.1,-0.5,1980
68,Doug Collins,SG,PHI,26.8,0.466,0.0,0.0,0.0,5.3,11.4,0.467,3.1,3.4,0.9109999999999999,0.8,1.8,2.8,0.8,0.2,2.3,2.1,0.5329999999999999,0.002,0.302,3.4,6.8,15.1,1.5,0.4,15.0,22.7,0.9,1.0,-1.0,-1.5,1980
70,Michael Cooper,SG,LAL,24.1,0.524,0.1,0.2,0.25,3.6,6.8,0.534,1.4,1.7,0.7759999999999999,1.2,1.6,2.7,1.0,0.5,1.7,2.6,0.563,0.035,0.247,6.1,6.5,13.5,2.0,1.0,18.1,15.9,2.2,1.8,0.0,-0.1,1980
